Country/Variable,Observation,Mean,Std.,Min,Max
Brazil,,,,,
Exchange rate,4086,2.1949,0.4827,1.2072,3.9535
Stock price,4086,19102.11,12558.16,2171.27,44629.79
Exchange rate return,4085,0.0002,0.0106,-0.1178,0.108
Stock return,4085,0.0004,0.0239,-0.1796,0.1802
Interest differential,3823,12.3199,4.5289,6.08,26.6
Russia,,,,,
Exchange rate,4174,28.9214,3.2347,8.55,37.0917
Stock price,4174,997.8246,662.0638,38.53,2487.92
Exchange rate return,4173,0.0003,0.0139,-0.3581,0.3535
Stock return,4173,0.0007,0.0235,-0.212,0.202
Interest differential,3887,7.0708,5.2104,-0.87,33.1
India,,,,,
Exchange rate,5391,44.5056,7.1425,31.35,68.145
Stock price,5391,202.7138,128.5961,54.14,531.47
Exchange rate return,5390,0.0001,0.0037,-0.0306,0.0351
Stock return,5390,0.0003,0.017,-0.1191,0.1905
Interest differential,3732,4.5731,2.5048,-2.56,10.58
China,,,,,
Exchange rate,2391,6.8968,0.6548,6.0412,8.2765
Stock price,2391,374.3888,127.0688,122.213,810.33
Exchange rate return,2390,-0.0001,0.001,-0.0203,0.0073
Stock return,2390,0.0004,0.0164,-0.091,0.0902
Interest differential,2391,0.9208,2.1938,-3.0178,7.13
South Africa,,,,,
Exchange rate,5000,7.2444,1.8286,3.6058,13.47
Stock price,5000,2468.807,1369.482,689.58,5005.56
Exchange rate return,4999,0.0002,0.0098,-0.0852,0.0981
Stock return,4999,0.0003,0.0169,-0.135,0.1289
Interest differential,3887,5.9876,2.2863,1.74,11.65
US.,,,,,
S&P 500,5000,1188.609,289.2157,0.0,2004.28
S&P 500 return,4993,0.0001,0.0119,-0.1014,0.057
